# Gaia DR3 Real Star Cluster: Pleiades (M45)
# Total Stars: 1679 | 1:1 IRL Physical Units: pos=pc, vel=km/s, mass=M_sun
# Gravitational constant: G = 0.004300917 pc*(km/s)^2/M_sun | 1 time unit = 0.9778 Myr
# name,mass,x,y,z,vx,vy,vz
gaia_69904101732529408,0.8187,1.2858,-1.3364,3.0757,0.0860,-2.1575,1.1876
gaia_65247704349267584,0.7892,-2.2346,-5.8129,-3.0708,0.0720,-1.7201,2.0306
gaia_64172038380708224,0.7942,-3.7004,-2.1141,-4.4270,-0.9042,-2.4845,4.7272
gaia_66570554277316992,0.8081,-3.4310,1.4208,-0.5581,-0.6074,-2.6399,3.4989
gaia_66499154741977216,0.7875,-4.3299,-3.9659,-3.6975,-0.8349,-2.7194,2.8958
gaia_65275089060719104,0.7915,-1.4028,-4.0852,-1.7115,0.3438,-2.5785,3.1966
gaia_65072435323295872,0.7845,-1.7551,-5.1296,-4.3410,0.4948,-2.2461,2.6488
gaia_65233788655261568,0.8016,1.1775,-1.3772,-1.2869,1.6810,-3.7900,2.3391
gaia_65289623229979136,0.7993,0.5452,-1.8172,-0.2589,-0.1878,-2.5916,3.3525
gaia_70242785673539712,0.7910,-1.8078,-4.3044,3.4615,-0.6235,-2.5026,2.9313
gaia_68574654735805440,0.8126,4.3030,0.4218,3.4887,45.0687,-8.3560,27.3190
gaia_66873435368674944,0.8771,10.7852,19.5806,12.4208,4.3908,-12.0897,-0.9513
gaia_66225170186990080,0.8443,2.6360,16.0002,7.8783,-20.4991,-38.4268,14.2154
gaia_64979732749686016,0.7797,-1.3224,-1.7356,-2.7177,-1.0485,-1.9740,2.3426
gaia_68303487680516224,0.7731,-1.4707,-4.4684,-0.9527,-0.8075,-2.3179,0.8714
gaia_66712872313288704,0.8473,9.3235,15.6167,7.9483,-19.1975,12.6494,-32.0402
gaia_68150861722174848,0.7731,1.8248,-4.3786,-1.8690,0.2904,-2.1731,2.9005
gaia_64921458633614976,0.7838,0.1815,2.5556,-1.5792,1.4201,-0.3156,4.2158
gaia_68550499839750656,0.7873,4.7821,0.6224,3.4725,55.8494,-12.3734,42.2502
gaia_66452769091505024,0.7742,-1.0684,1.4983,-0.9212,-0.4086,-2.0281,3.3909
gaia_64450283540250240,0.7847,5.1286,2.9128,-2.3709,-0.2270,-2.7444,7.0089
gaia_66800592725851776,0.7436,-3.0160,-5.1125,-1.5072,0.0195,-1.1425,3.8675
gaia_69857235049588736,0.7442,-3.2032,-4.3902,0.6478,-0.8797,-2.2193,4.0584
gaia_66537981246228096,0.7627,-1.3395,2.1887,0.5809,-0.7983,-1.8166,3.3161
gaia_69876712724339456,0.7446,-1.1428,-4.5835,0.1579,-0.6267,-2.1534,7.1185
gaia_69945814454871680,0.7361,-3.2653,-6.8783,0.9323,-0.9168,-1.8053,0.3894
gaia_65297835207500800,0.7869,6.5351,7.7172,5.1727,-41.1120,33.6857,11.3931
gaia_64923279699744256,0.7467,-1.0071,0.7734,-2.3634,-0.4170,-2.0617,2.8572
gaia_66556535504958848,0.7350,-3.5839,-2.6723,-1.5507,-1.7373,-2.2661,4.4604
gaia_68334235349446528,0.7339,1.2597,-4.1993,-0.4123,0.7529,-1.5056,1.3891
gaia_70049477786093056,0.7259,-3.2622,-5.5208,2.1637,-0.5658,-2.0521,2.3364
gaia_69874243118711040,0.7315,-2.0111,-3.4594,1.5987,-0.9737,-2.4983,-6.9818
gaia_64804841680675200,0.7582,4.7677,7.4093,0.3443,-0.0885,-2.0067,4.2924
gaia_66808869124393600,0.7045,-3.9887,-6.1765,-1.8444,-0.6044,-2.6587,2.7223
gaia_65622466016638464,0.6973,-6.7778,-2.4115,-5.0955,6.6712,9.1343,20.3226
gaia_67753147750455808,0.7200,5.5586,-1.6143,-1.4859,-7.3074,-1.2825,22.9672
gaia_63876402894075904,0.6984,-4.4911,0.2018,-5.4942,-0.9006,-1.8833,-9.6396
gaia_65194584193758336,0.6972,-1.0593,-3.2622,-2.3263,-0.3170,-2.2644,2.8963
gaia_68317609532996480,0.6978,-0.4979,-4.3510,-0.4518,-0.8661,-2.6215,3.1510
gaia_66665696393227904,0.6450,-11.6963,-13.2170,-6.6887,-2.7462,3.7201,7.5309
gaia_66957994687842176,0.6965,-3.1142,-0.9484,2.1880,-1.3954,-1.9030,5.2044
gaia_70125000491024128,0.6841,-2.2617,-6.2286,1.0888,0.1318,-3.2152,2.4093
gaia_70188733509474688,0.7253,8.2539,5.6846,9.6921,-0.4979,-8.6879,4.8619
gaia_63951826816390144,0.6891,0.3978,2.6858,-4.4668,-0.7537,-2.5927,3.5067
gaia_65787289680918528,0.6802,-5.5517,2.3167,-0.7364,-1.0793,-2.5677,4.7766
gaia_65030344643851776,0.6561,-2.3509,-7.1310,-6.3780,-1.0092,-0.3839,5.4431
gaia_64095656682494720,0.6752,-2.1411,1.6771,-3.6062,-0.5314,-2.7498,4.0313
gaia_64873556860745344,0.7062,6.2754,8.1427,1.6115,-26.1767,22.2722,-6.7313
gaia_65248460263511552,0.6694,-0.1230,-2.6811,-1.3841,-0.3185,-2.1430,2.5014
gaia_68660244843997312,0.6770,2.2240,-3.1130,3.3159,-1.2281,-4.3360,-0.2886
gaia_69917635172718720,0.6783,0.5119,-1.2274,3.2136,0.1186,-1.9920,3.5641
gaia_64888129687348736,0.6584,-2.2625,-2.5242,-4.6640,0.0957,0.8039,0.4334
gaia_66747816167123712,0.6531,-4.4592,-3.9478,-1.8252,-1.5585,-2.4553,-6.0534
gaia_67812280860140032,0.7135,13.3293,10.2084,5.6611,3.5465,20.1155,33.5576
